                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
37,                 1.1657,                0.66064,                 1.2188,                0.85599,                0.84588,                 0.8781,                0.53245,                 1.4466,                0.68465,                 1.4737,               0.008812,               0.008812,               0.008812
38,                 1.1711,                0.65726,                 1.2117,                 0.8482,                0.83653,                0.86932,                0.52762,                 1.4401,                0.69041,                 1.4744,               0.008779,               0.008779,               0.008779
39,                 1.1588,                 0.6508,                 1.2124,                0.84491,                0.83118,                0.86413,                0.52277,                 1.4504,                0.69311,                 1.4842,               0.008746,               0.008746,               0.008746
40,                 1.1602,                0.64815,                 1.2073,                0.85759,                0.83564,                0.86964,                0.52432,                 1.4633,                0.68128,                 1.4842,               0.008713,               0.008713,               0.008713
41,                 1.1535,                0.64361,                 1.2041,                0.84459,                0.84476,                0.87134,                0.52526,1459,                0.67304,                 1.4855,                0.00868,                0.00868,                0.00868
42,                 1.1405,                0.63742,                 1.1983,                0.85784,                0.84239,                0.87387,                0.52826,                 1.4521,                0.66789,                 1.4885,               0.008647,               0.008647,               0.008647
43,                 1.1367,                0.63303,                 1.1962,                0.86452,                0.82361,                0.87113,                0.52825,                 1.4479,                0.67553,1475,               0.008614,               0.008614,               0.008614
44,                 1.1307,                0.62428,                 1.1865,                0.84942,                 0.8451,                0.86784,                0.52586,                 1.4617,                0.67499,                 1.4825,               0.008581,               0.008581,               0.008581
45,                 1.1266,                0.62667,                 1.1888,                0.84468,                0.84369,                0.86443,                0.52574,                 1.4647,                0.67561,                 1.4915,               0.008548,               0.008548,               0.008548
46,                 1.1125,                   0.62,                 1.1903,                0.84803,                0.83843,                0.86532,                0.52414,                 1.4724,                0.67038,                 1.5027,               0.008515,               0.008515,               0.008515
47,                 1.1102,                0.61323,                 1.1839,                0.84816,                0.84203,                0.86972,                0.52373,                 1.4726,                0.67269,                 1.4944,               0.008482,               0.008482,               0.008482
48,                 1.1098,                0.61459,                 1.1816,                0.85237,                 0.8439,                0.87067,                0.52641,                 1.4752,                0.67222,                 1.5033,               0.008449,               0.008449,               0.008449
49,                 1.1116,                0.61056,                 1.1749,                0.85252,                0.84383,                0.86809,                0.52643,                 1.4763,                 0.6667,                 1.5042,               0.008416,               0.008416,               0.008416
50,                 1.0951,                0.60653,                 1.1707,                0.85453,                0.83152,                0.86667,                0.52901,                 1.4706,                 0.6663,                 1.5054,               0.008383,               0.008383,               0.008383
